
السنة المقارنة 
2012/2011	2013/2012	البيــــــــان	الكود الاقتصادي
	فعلى 	الربط المعدل	الربط 	
70713206	59952701	59751000	59751000	 xالخدمات الصحية	11320106
3850713	3662870	20114000	20114000	 xالخدمات الثقافية 	11320107
12043144	10671192	25464000	25464000	 xخدمات الاسكان والتعمير	11320108
241141890	235897528	621167000	621167000	 xالخدمات الاجتماعية 	11320109
545237	1475496	435000	435000	 xالخدمات التموينية	11320110
9852106	10647512	17926000	17926000	 xخدمات القوى العاملة	11320111
29018965	36453712	27857000	27857000	 xخدمات الطرق والمواصلات	11320112
6771504	10730577	13672000	13672000	 xخدمات الشباب والرياضة	11320113
2076269	3288129	2680000	2680000	 xالخدمات البيطرية	11320114
187128	170314	75000	75000	 xخدمات التنظيم والادارة	11320115
0	0	0	0	 xالتخطيط الاقليميى	11320116
0	0	0	0	 xالخدمات السياحية	11320117
0	0	0	0	 xخدمات الضرائب العقارية	11320118
277617240	218281434	562567000	562107000	 xمبيعات بضائع	11320119
227027247	269760071	369764621	347460000	 xايرادات المشروعات الانتاجية	11320120
68586739	70652050	90300000	90300000	 xايجار المرافق العامة	11320121
50181781	54862639	59137000	59137000	 xايجار المبانى الحكومية	11320122
76490419	0	78600000	78600000	 xمقابل الاشراف والادارة على الشركات	11320123
318055	745976	4890000	4890000	 xارباح تشغيل العملة التذكارية 	11320124
14290474384	15500536239	17560540220	11923833000	 xموارد جارية من الصناديق والحسابات الخاصة	11320125
333927284	391366295	528612428	432263000	 xالمحصل مقابل تأدية خدمات	11320126
20862641	2456244	2985936	2927000	 xمقابل تأدية اعمال بعض المصالح للمصالح الاخرى	11320127
11661360	18657915	30721220	30316000	 xايرادات البرامج التدريبية	11320128
9027926	8903818	12911512	8250000	 xعمولة تحصيل	11320129
651572075	891094469	274756190	273158000	 xأخرى	11320130
0	3445620716	0	0	 xنسبة الـ 20 % حصيلة وزارة المالية من إجمالي إيرادات الصناديق والحسابات الخاصة	11320131

السنة المقارنة 
2012/2011	2013/2012	البيــــــــان	الكود الاقتصادي
	فعلى 	الربط المعدل	الربط 	
30350407	25066364	22948000	22948000	* إيرادات بيع السلع	11320200
30350407	25066364	22948000	22948000	  xحصيلة بيع المخزون السلعى	11320201
0	0	0	0	 xحصيلة فروق أسعار بيع الغاز الطبيعى	11320202
518786257	479128963	8002490000	8002490000	  =  تعويضات وغرامات 	11330000
518786257	479128963	8002490000	8002490000	* غرامات العقوبات والمصادرات	11330100
26489-	4750346-	3000000	3000000	 xايرادات النقد المصادر	11330101
6114010	6002366	2000000	2000000	 xحصيلة الاموال المستردة	11330102
58463937	87064394	40100000	40100000	 xالتعويضات الناتجة عن المخالفات الاستيرادية	11330103
42032488	37509381	20000000	20000000	 xتعويضات عن الممارسات الضارة فى التجارة الدولية	11330104
232789	602384	210000	210000	 xحصيلة صندوق الغرامات والجزاءات	11330105
397869932	330029685	594579000	594579000	 xحصيلة الغرامات	11330106
14099590	22671099	7342601000	7342601000	 xأخرى 	11330107
672839832	612273253	344655284	56723000	  =  التحويلات الاختيارية	11340000
497155236	382542423	225129345	51625000	* جـــارية	11340100
2986642	633959	7000000	7000000	 xفائض لجنة المساعدات 	11340101
494168594	381908464	218129345	44625000	 xايرادات انشطة مختلفة	11340102
175684596	229730830	119525939	5098000	* رأسـمالية	11340200
173333760	224621156	114463230	4198000	  xمساعدات وتبرعات محلية لتمويل الأستثمارات	11340201
2350836	5109674	4162709	0	  xمساعدات وتبرعات أجنبية لتمويل الأستثمارات	11340202
0	0	900000	900000	 xأخرى	11340203
11118126920	13677058393	25057607663	22413000000	  =  ايرادات متنوعة	11350000
3526603040	6871581279	5282686622	4206709000	* جــارية	11350100
325739321	274949556	102218000	102218000	 xمبالغ معلاه دائنة مضت عليها المدة القانونية	11350101
632390655	731993073	1111660996	338870000	 xايرادات سنوات سابقة	11350102
3859487	4147956	4023000	4023000	 xمقابل اشتراك العاملين بالسيارات	11350103
39915998	145614687	57354000	57354000	 xايرادات اسواق	11350104
1434076	947019	3803000	3803000	 xايرادات غرامات المبانى	11350105
2523263503	5713928988	4003627626	3700441000	 xايرادات أخرى مختلفة	11350106
7591523880	6805477114	19774921041	18206291000	* رأسمــالية	11350200
3253778306	3362934386	83666152	0	 xنقص الرصيد المدين للدفعات المقدمة  لتمويل الأستثمارات	11350201
3165661315	2689389797	11043915354	9851403000	 xموارد ومصادر رأسمالية أخرى لتمويل الأستثمارات	11350202
656586157	541958887	8512865535	8220294000	 xحصيلة بيع أصول غير انتاجية (أراضى)	11350203
26422422	4447826	1325000	1325000	 xحصيلة بيع أصول انتاجية (مساكن وسيارات وغيرها)	11350204
489075680	206746218	133149000	133269000	 xايرادات رأسمالية أخرى	11350205

السنة المقارنة 
2012/2011	2013/2012	البيــــــــان	الكود الاقتصادي
	فعلى 	الربط المعدل	الربط 	
4575352905	4468291353	13637876000	13637876000	# المتحصلات من الحيازة	12000000
4575352905	4468291353	13637876000	13637876000	ـ متحصلات الاقراض ومبيعات الاصول المالية	12400000
4575352905	4468291353	13637876000	13637876000	  =  متحصلات الاقراض ومبيعات الاصول المالية المحلية	12410000
0	0	0	0	* متحصلات من أوراق مالية بخلاف الأسهم	12410100
0	0	0	0	 xسندات	12410101
0	0	0	0	 xأذون	12410102
0	0	0	0	 xأخرى	12410103
4575352905	4456620096	10387876000	10387876000	* أقساط محصلة من الاقراض	12410200
0	0	0	0	 xمن بنك الاستثمار 	12410201
0	0	239739000	239739000	 xمن الهيئات الاقتصادية	12410202
0	0	0	0	 xمن الشركات القابضة	12410203
2382481342	2362105131	7250000000	7250000000	 xمن شركات قطاع الاعمال العام	12410204
0	0	0	0	 xمن شركات القطاع العام 	12410205
2176280333	2057796240	721637000	721637000	 xمحصلة من أجهزة الموازنة العامة (أقساط القروض الخارجية المعاد أقراضها من الخزانة العامة)	12410206
16591230	36718725	2176500000	2176500000	 xمن الجهات الأخرى	12410207
0	12547	2750000000	2750000000	* المتحصلات من بيع الاصول وحقوق الملكية	12410300
0	0	0	0	 xمن بنك الاستثمار	12410301
0	0	0	0	 xمن شركات قطاع أعمال عام	12410304
0	12547	2750000000	2750000000	 xمن جهات أخرى	12410306
0	11658710	500000000	500000000	* الخصخصة	12410400
0	11658710	500000000	500000000	 xحصيلة الخصخصة	12410401
0	0	0	0	  =  متحصلات الاقراض ومبيعات الاصول الماليةالإجنبية	12420000
0	0	0	0	* متحصلات اوراق مالية بخلاف الاسهم	12420100
0	0	0	0	 xسندات	12420101
0	0	0	0	 xأخرى	12420103
0	0	0	0	* أقساط محصلة من الاقراض	12420200
0	0	0	0	 xمن الجهات الأخرى	12420201
0	0	0	0	* المتحصلات من بيع الاصول وحقوق الملكية	12420300
0	0	0	0	 xمن جهات أخرى	12420301
0	0	0	0	  = متحصلات الاقراض ومبيعات الأصول المالية من الحسابات والصناديق الخاصة	12430000
0	0	0	0	* متحصلات من الحسابات والصناديق الخاصة	12430100
0	0	0	0	  xمن الحسابات والصناديق الخاصة	12430101

السنة المقارنة 
2012/2011	2013/2012	البيــــــــان	الكود الاقتصادي
	فعلى 	الربط المعدل	الربط 	
203179677552	311035373899	311430390200	228262602000	# مصادر التمويل	13000000
203179677552	311035373899	311430390200	228262602000	ـ الاقتراض وأصدار الاوراق المالية بخلاف الاسهم	13500000
197724567113	286005981540	309160957000	226511757000	  =  الاقتراض واصدار الاوراق المالية المحلية	13510000
185491839732	261887451402	309160957000	226511757000	* أصدار أوراق مالية بخلاف الاسهم	13510100
134300000000	217943283210	227649200000	145000000000	  xسندات على الخزانة العامة	13510101
52499070200	43944168192	81511757000	81511757000	 xاذون على الخزانة العامة	13510102
1307230468-	0	0	0	  xاخرى 	13510103
12232727381	24118530138	0	0	* الاقتراض	13510200
0	0	0	0	 xمن بنك الاستثمار القومى لتمويل الاستثمارات	13510201
0	0	0	0	 xمن بنك الاستثمار القومى لتمويل أغراض أخرى	13510202
49163526	0	0	0	 xقروض خارجية معاد اقراضها عن طريق الخزانة	13510203
200000000	0	0	0	 xاقتراض لتمويل الاستثمارات 	13510204
11983563855	24118530138	0	0	 xاقتراض من مصادر اخرى 	13510205
5455110439	25029392359	2269433200	1750845000	  =  الاقتراض واصدار الاوراق المالية الاجنبية	13520000
0	0	0	0	* أصدار أوراق مالية بخلاف الاسهم	13520100
0	0	0	0	 xسندات على الخزانة العامة	13520101
0	0	0	0	 xاذون على الخزانة العامة	13520102
0	0	0	0	 xاخرى	13520103
5455110439	25029392359	2269433200	1750845000	* الاقتراض	13520200
1632736936	1108631592	2269433200	1750845000	 xلتمويل الاستثمارات	13520201
3822373503	23920760767	0	0	 xلتمويل التزامات راسمالية	13520202
0	0	0	0	  =  الاقتراض من الحسابات والصناديق الخاصة	13530000
0	0	0	0	* الاقتراض من الحسابات والصناديق الخاصة	13530100
0	0	0	0	 xمن الحسابات والصناديق الخاصة	13530101
 
