
السنة المقارنة 
2012/2011	2013/2012	البيــــــــان	الكود الاقتصادي
	فعلى 	الربط المعدل	الربط 	
2887864331	1806550421	1890200117	1019910000	x اعتمادات الاجور للحسابات والصناديق الخاصة	21130102
5000000	0	876794224	7658000000	* المتطلبات الإضافية للاجور	21130200
0	0	222671397	4000000000	 x احتياطيات عامة للاجور 	21130201
5000000	0	654122827	3658000000	x المتطلبات الاضافية الاخرى للاجور	21130202
0	0	0	0	  = الاجور المستبعده	21140000
0	0	0	0	* اجور مستبعدة للتحصيل من شراء الأصول غير المالية	21140100
0	0	0	0	 x أجور مستبعدة من مصادر أخرى	21140101
26826309397	26652368319	30787959331	28764680000	ـ شراء السلع والخدمات	21200000
10598374295	11994252871	13398249632	13323459000	  =  الســـلع	21210000
4298638986	5703940065	6402024410	6361444000	* المواد الخام	21210100
2145263817	2712339497	3069712515	3106413000	x الادوية	21210101
1036587231	1479203929	1707302649	2003426000	x الاغذية	21210102
1116787938	1512396639	1625009246	1251605000	x مواد خام أخرى	21210103
954382322	1016473686	1041138933	978559000	* وقود وزيوت و قوى محركة للتشغيل	21210200
106541	96868	393133	410000	x فحومات	21210201
319075005	343049423	345620301	332827000	x مواد بترولية وغاز	21210202
39117986	72692304	89442068	34573000	x مواد تزييت و تشحيم	21210203
596082790	600635091	605683431	610749000	x كهرباء	21210204
80781755	85995484	103701741	104602000	* وقود وزيوت لسيارات الركوب	21210300
64269534	68942374	83647564	85784000	x مواد بترولية وغاز	21210301
16512221	17053110	20054177	18818000	x مواد تزييت و تشحيم	21210302
607485291	633644128	863222223	934652000	* قطع غيار ومهمات	21210400
320458235	330771655	507608790	561771000	x قطع غيار و مواد للصيانة	21210401
287027056	302872473	355613433	372881000	x مواد و مهمات متنوعة	21210402
2779322	3904766	4566408	7222000	* مواد تعبئة وتغليف	21210500
2638592	3693226	4435360	7058000	x مواد مستهلكة	21210501
140730	211540	131048	164000	x مواد متداولة	21210502
230155653	255990930	303253780	280028000	* ادوات كتابية وكتب	21210600
99910019	104739560	124810800	111577000	x ادوات كتابية ومكتبية 	21210601
22667353	23045307	31982924	35426000	x كتب ومجلات ووثائق اخرى للمكتبات	21210602
16284905	20060100	22065567	20880000	x كراسات ودفاتر	21210603
91293376	108145963	124394489	112145000	x مطبوعات اخرى	21210604
4159074368	3956813906	4318559119	4289589000	* مياه وانارة	21210700
628520552	605132813	748098272	597578000	x ميــاه 	21210701
3530553816	3351681093	3570460847	3692011000	x انــارة	21210702

السنة المقارنة 
2012/2011	2013/2012	البيــــــــان	الكود الاقتصادي
	فعلى 	الربط المعدل	الربط 	
258005057	319211446	343478366	330764000	* مستلزمات سلعية متنوعة	21210800
52101381	49555683	82306920	94109000	 xمستلزمات تعليمية ومعينات سمعية و بصرية	21210801
1067138	1134039	2403590	2149000	 xمستلزمات تنظيم الحدائق 	21210802
3117216	4235818	6441607	5901000	 xمستلزمات تصوير 	21210803
340936	273913	1006882	1011000	 xمستلزمات موسيقى 	21210804
842739	1215008	6114193	6066000	 xمستلزمات العاب رياضية 	21210805
200535647	262796985	245205174	221528000	 xمستلزمات سلعية متنوعة	21210806
7071541	18278460	18304652	36599000	*  سلع مشتراه بغرض إعادة البيع	21210900
7071541	18278460	18304652	34099000	 xمحلية	21210901
0	0	0	2500000	 xأجنبية	21210902
11516541282	11297149852	12796274250	11382230000	   =  الخدمات	21220000
3194214866	3566120292	4442899205	4383896000	* نفقات الصيانة	21220100
622217835	580343621	589447316	652912000	 xصيانة وتطهير لوسائل الرى والصرف ومخرات السيول	21220101
779737326	871000562	1120735036	1111366000	 xصيانة و ترميم مبانى انشاءات واعمال صغيرة المبانى	21220102
48673131	63046044	109107110	76352000	 xصيانة مرافق و شبكات	21220103
825317927	1009408282	1501407208	1503589000	 xصيانة طرق و جسور و كبارى	21220104
551868631	672310411	754722929	661421000	 xصيانة الآت و معدات	21220105
297010441	298580711	281729880	284977000	 xصيانة وسائل نقل واتصالات	21220106
16384621	17367974	22241887	30058000	 xصيانة اثاث و معدات مكتبية ومكاتب	21220107
31622485	36728792	36684334	36571000	 xصيانة الحاسبات والاجهزة الالكترونية	21220108
21382469	17333895	26823505	26650000	 xاخرى	21220109
420245798	256746708	302690392	135669000	* نشر واعلان ودعاية واستقبال	21220200
36613765	42881653	60711886	53855000	 xنفقات نشر واعلان 	21220201
361149754	180412281	187526849	34242000	 xنفقات دعاية  	21220202
7009734	7732205	17897293	17567000	 xنفقات الحفلات و الاستقبالات  	21220203
10322847	20530349	26300215	19784000	 xنفقات الزيارات الدولية والاشتراك فى المؤتمرات الدولية  	21220204
288730	280377	686962	835000	 xنفقات الاشتراك فى المؤتمرات المحلية  	21220205
4834851	4879214	9342727	9076000	 xنفقات الشئون والعلاقات العامة  	21220206
26117	30629	224460	310000	 xاخرى	21220207

السنة المقارنة 
2012/2011	2013/2012	البيــــــــان	الكود الاقتصادي
	فعلى 	الربط المعدل	الربط 	
1184831345	1370006016	1386500096	1219656000	* نفقات طبع ودوريات وحقوق تأليف	21220300
1150716059	1341839498	1351074530	1178935000	 xنفقات طبع	21220301
13569362	9705002	15172949	17935000	 xاشتراكات فى مجلات وجرائد ودوريات	21220302
9512583	4357783	5514125	7921000	 xشراء حقوق المؤلفين	21220303
227207	704377	849951	1238000	 xنفقات تشجيع التأليف والمؤلفين	21220304
10597409	12936887	13181001	13215000	 xاصداركتب ومجلات ونشرات وثقافية وعلمية	21220305
208725	462469	707540	412000	 xاخرى	21220306
2106469856	2328879710	2532774076	2430984000	* نقل وانتقالات عامة 	21220400
2390677	2372914	5513698	5838000	 xنقل مهمات بالسكة الحديد	21220401
45572549	49280368	66148575	68864000	 xانتقالات عامة للعاملين و غير العاملين بالسكك الحديدية	21220402
239178240	260437007	292778638	266835000	 xنقل وانتقالات عامة بوسائل اخرى للسفر بالداخل	21220403
90742749	97373693	115943625	105729000	 xنقل وانتقالات عامة بوسائل اخرى للسفر بالخارج	21220404
5013633	12214968	8666000	8411000	 xتكاليف نقل وانتقالات وبدل انتقال للمعارين بالخارج	21220405
172214383	182357923	216183686	219724000	 xبدل انتقال للسفر بالداخل	21220406
46683330	41283455	55653942	51226000	 xبدل انتقال للسفر بالخارج	21220407
1491452395	1676174418	1763843210	1697626000	 xالمقابل النقدى للعاملين بالمناطق النائية	21220408
13221900	7384964	8042702	6731000	 xاخرى	21220409
255240174	240207018	302681359	348538000	* البريد والإتصالات	21220500
93004209	72552075	100836314	98152000	 xبريد	21220501
139219862	138921161	162574786	220701000	 xتليفون	21220502
39578	58783	592829	704000	 xتلغراف	21220503
576814	913364	1612054	1583000	 xاشتراك تيكر	21220504
605190	603294	2367321	2569000	 xتلكس و فاكس	21220505
21753496	27004876	34146467	24306000	  xشبكة الانترنت	21220506
41025	153465	551588	523000	 xاخرى	21220507
333045520	340325799	393259922	376424000	* ايجـــار	21220600
244123442	265498207	289606619	279699000	 xايجار أراضـى ومبــانى ومخازن وجراجات  وغيرها	21220601
17885902	15134723	15502415	15683000	 xايجارالآت احصائية وحاسبات	21220602
7626606	4393235	18245368	15953000	 xايجارالآت وماكينات ومعدات	21220603
2410133	3545610	16214518	16905000	 xايجارخيام وكراسى	21220604
60999437	51754024	53691002	48184000	 xايجاروسائل نقل	21220605

السنة المقارنة 
2012/2011	2013/2012	البيــــــــان	الكود الاقتصادي
	فعلى 	الربط المعدل	الربط 	
18232094	36337189	40187505	15302000	* نفقات اقامة المعارض والمؤتمرات	21220700
16809648	34787467	38139288	12882000	 xفى الداخل	21220701
1422446	1549722	2048217	2420000	  xفى الخارج	21220702
72000944	74582500	77267558	87132000	* تكاليف العلاقات الثقافية والتعاون الخارجى	21220800
39177112	43394057	45395156	45949000	 xتكاليف تبادل البعثات والوفود مع الحكومات لاجنبية وتنفيذ المعاهدات الثقافية	21220801
32621198	30949137	30907402	40210000	 xتكاليف المكاتب و المراكز الثقافية و مكاتب البعثات	21220802
202634	239306	965000	973000	 xأخرى	21220803
82460442	90055929	115208865	88824000	* تكاليف البحوث والتطوير وتدريب العاملين	21220900
41034348	49997551	56058779	33823000	 xخدمات ابحاث وتجارب	21220901
41426094	40058378	59150086	55001000	 xتكاليف البرامج التدريبية	21220902
3849800243	2993888691	3202805272	2295805000	* نفقات خدمية متنوعة 	21221000
291012126	83605366	97308250	66214000	 xنفقات تأمين و عمولة	21221001
183132667	15545052	30604542	27595000	 xنفقات الأعياد و المواسم	21221002
841329137	187447211	283727909	287025000	 xنفقات تنفيذ الأحكام القضائية	21221003
519035	927428	922352	687000	 xنفقات رسوم القيد بنقابة المحامين	21221004
344997	681732	39565046	590000	 xنفقات لجان تحكيم	21221005
27540765	44632807	42716854	53710000	 xنفقات تشغيل لدى الغير و مقاولى الباطن	21221006
48092240	41862118	34455962	33334000	 xنفقات سرية وذات طبيعة خاصة	21221007
2457829276	2619186977	2673504357	1826650000	 xاخرى متنوعة	21221008
4711393820	3360965596	4593435449	4058991000	   = شراء السلع والخدمات الاجمالية والاحتياطيات العامة	21230000
4711330723	3360965596	4047113044	2558991000	* شراء السلع والخدمات الاجمالية	21230100
1062935901	694270103	853252035	595023000	 xشراء سلع وخدمات اجماليــة مدرجة بموازنات الجهات	21230101
3648394822	2666695493	3193861009	1963968000	 xاعتمادات شراء السلع والخدمات للحسابات والصناديق الخاصة  	21230102
63097	0	546322405	1500000000	* المتطلبات الاضافية لشراء السلع والخدمات	21230200
0	0	70968801	1500000000	  xاحتياطيات عامة لشراء السلع والخدمات	21230201
63097	0	475353604	0	 xمتطلبات إضافية أخرى لشراء السلع والخدمات	21230202
0	0	0	0	   = شراء السلع والخدمات المستبعدة	21240000
0	0	0	0	* شراء السلع والخدمات مستبعدة للتحصيل من شراء الأصول غير المالية 	21240100
0	0	0	0	  xشراء السلع والخدمات المستبعدة من مصادر أخرى 	21240101

السنة المقارنة 
2012/2011	2013/2012	البيــــــــان	الكود الاقتصادي
	فعلى 	الربط المعدل	الربط 	
104440762988	146995217252	151263488242	133612114000	ـ الفوائد	21300000
3417874685	3896131774	6090719669	6090673000	  =  فوائد خارجية 	21310000
3417874685	3896131774	6090719669	6090673000	* فوائد خارجية (لغير المقيمين)	21310100
3367829263	3848552476	6002600000	6002600000	 xفوائد الدين العام الخارجى	21310101
50045422	47579298	88119669	88073000	 xفوائد خارجية تسددها الجهات	21310102
100875108876	142966405266	144962560740	127313350000	  =  فوائد محلية (المقيمين) 	21320000
84455089539	125130565853	126631238638	109433191000	* بخلاف وحدات الحكومة العامة	21320100
11149841059	22191071647	22191132500	14031632500	 xفوائد سندات البنك المركزى	21320101
0	0	0	0	 xفوائد سندات السلع التموينية	21320102
320000000	320000000	320000000	320000000	 xفوائد سندات الزيادة فى رؤوس أموال البنوك	21320103
0	0	0	0	 xفوائد السندات الدولارية بالعجز فى مركز العملات الأجنبية	21320104
36294043418	51252400422	52672108500	52672108500	 xفوائد الأذون على الخزانة العامة	21320105
25049657095	37406687940	37406687940	33188800000	 xفوائد سندات الخزانة المصرية	21320106
9806238084	11685783786	11685783786	7837500000	 xفوائد التغطية المؤقتة للرصيد المدين	21320107
218679228	0	0	0	 xفوائد السندات المحلية	21320108
160000000	160000000	160000000	160000000	 xفوائد سندات العجز الاكتوارى لصندوقى التأمينات	21320109
61124105	64294659	65000000	65000000	 xفوائد الـ 5% سندات حكومية	21320110
0	0	80000000	80000000	 xفوائد السندات المتوقع إصدارها لصالح صندوقى التأمين	21320111
214584750	165812500	165812500	160425000	 xفوائد أرصدة الاموال المساندة	21320112
1180921800	1884514899	1884713412	917725000	 xأخرى	21320113
16420019337	17835839413	18331322102	17880159000	* لوحدات الحكومة العامة	21320200
16322261170	17715722486	17715722487	17600234000	 xفوائد قروض تمويل الاستثمارات  	21320201
97559554	120012514	209623060	209468000	 xللخزانة العامة ( تشمل فوائد القروض الخارجية والمعاد اقراضها من الخزانة )	21320202
198613	104413	405976555	70457000	 xلجهات اخرى (شاملة المحليات)	21320203
147779427	132680212	210207833	208091000	   = الفوائد الاجمالية والاحتياطيات العامة	21330000
147779427	132680212	210207833	208091000	* الفوائد الاجمالية	21330100
0	0	3000	3000	 xفوائد اجماليــة مدرجة بموازنات الجهات	21330101
147779427	132680212	210204833	208088000	 xاعتمادات الفوائد للحسابات والصناديق الخاصة 	21330102
0	0	0	0	* المتطلبات الاضافية للفوائد	21330200
0	0	0	0	 xمتطلبات إضافية أخرى للفوائد	21330201
0	0	0	0	   = الفوائد المستبعده	21340000
0	0	0	0	* فوائد مستبعدة بالتحصيل من شراء الأصول غير المالية 	21340100
0	0	0	0	 xفوائد مستبعدة من مصادر أخرى  	21340101
	البيــــــــان	2012/2013	السنة المقارنة 
الكود الاقتصادي	الربط 	الربط المعدل	فعلى 	2011/2012
150193187170	197093337986	203077182854	145837700000	ـ الدعم والمنح والمزايا الاجتماعية	21400000
170800093116	3322883790	640281272	166836928054	ﻡﻋﺩﻟﺍ  =	21410000
168978018722	3322883790	640281272	165014853660	ﺔﻴﻟﺎﻤﺭﻴﻏ ﺕﺎﺴﺴﺅﻤﻟ*	21410100
32550921809	0	0	32550921809	ﺔﻴﻨﻴﻭﻤﺘﻟﺍ ﻊﻠﺴﻟﺍ ﻡﻋﺩx	21410101
120000000000	0	0	120000000000	ﺔﻴﻟﻭﺭﺘﺒﻟﺍ ﺩﺍﻭﻤﻟﺍ ﻡﻋﺩx	21410102
3066908577	3066908577	0	0	ﺕﺍﺭﺩﺎـــﺼﻟﺍ ﻁﻴﺸﻨﺘ ﻡﻋﺩx	21410103
869471248	35262662	0	834208586	ﻥﻴﻋﺭﺍﺯﻤﻟﺍ ﻡﻋﺩx	21410104
8550000000	0	0	8550000000	ﺀﺎﺒﺭﻬﻜﻟﺍ ﻡﻋﺩx	21410105
1236687000	0	0	1236687000	ﺏﺎﻜﺭﻟﺍ لﻘﻨ ﻡﻋﺩx	21410106
457982298	0	0	457982298	ﺔﻴﻭﺩﻻﺍﻭ ﻰﺤﺼﻟﺍ ﻥﻴﻤﺄﺘﻟﺍx	21410107
241100000	0	0	241100000	ﻰﻋﺎﻨﺼﻟﺍ ﺝﺎﺘﻨﻻﺍ ﻡﻋﺩx	21410108
0	0	0	0	ﺩﻴﻌﺼﻟﺍ ﺔﻴﻤﻨﺘ ﻡﻋﺩx	21410109
2004947790	220712551	640281272	1143953967	ﻯﺭـــــــﺨﺃx	21410110
0	0	0	0	ﺔﻴﻋﺎﻨﺼﻟﺍ ﻲﻀﺍﺭﻷﺍ ﻡﻋﺩx	21410111
1822074394	0	0	1822074394	ﺔﻴﻟﺎﻤ ﺕﺎﺴﺴﺅﻤﻟ*	21410200
722074394	0	0	722074394	ﺓﺭﺴﻴﻤﻟﺍ ﺽﻭﺭﻘﻟﺍ ﺓﺩﺌﺎﻓ ﻡﻋﺩx	21410201
350000000	0	0	350000000	لﺨﺩﻟﺍ ﻯﺩﻭﺩﺤﻤ ﻥﺎﻜﺴﺍ ﻡﻋﺩx	21410202
750000000	0	0	750000000	ﻯﺭــــــــﺨﺃx	21410203
5014460708	965754882	204366288	3844339538	ﺢﻨﻤﻟﺍ  = 	21420000
144850048	63150284	0	81699764	ﺔﻴﺒﻨﺠﻷﺍ ﺕﺎﻤﻭﻜﺤﻠﻟ ﺢﻨﻤﻟﺍ*	21420100
144182273	63150284	0	81031989	ﻯﺭﺎﺠx	21420101
667775	0	0	667775	ﻰﻟﺎﻤﺴﺃﺭx	21420102
450000	0	0	450000	ﺔﻴﻟﻭﺩﻟﺍ ﺕﺎﻤﻅﻨﻤﻠﻟ ﺢﻨﻤ*	21420200
450000	0	0	450000	ﻯﺭﺎﺠx	21420201
0	0	0	0	ﻰﻟﺎﻤﺴﺃﺭx	21420202
4869160660	902604598	204366288	3762189774	ﺔﻤﺎﻌﻟﺍ ﺔﻤﻭﻜﺤﻟﺍ ﺕﺎﻬﺠﻟ ﺢﻨﻤ*	21420300
4869160660	902604598	204366288	3762189774	ﻯﺭﺎﺠx	21420301
0	0	0	0	ﻰﻟﺎﻤﺴﺃﺭx	21420302
 

السنة المقارنة 
2012/2011	2013/2012	البيــــــــان	الكود الاقتصادي
	فعلى 	الربط المعدل	الربط 	
9367537861	20778191611	25237829948	23908449000	  =  مزايا اجتماعية	21430000
2581382261	3752805095	3753789000	2657639000	* مزايا للأمان الإجتماعى	21430100
2462500000	3630079860	3629500000	2533500000	 xمعاش الضمان الاجتماعى	21430101
48000000	48328000	47000000	47000000	 xمعاش الطفل	21430102
0	60000	60000	0	 xمزايا للأمان الإجتماعى عينية	21430103
70882261	74337235	77229000	77139000	 xأخرى	21430104
6200029971	16351479755	20701516479	20700066000	* مساعدات إجتماعية	21430200
6200000000	16351400000	20701400000	20700002000	 xمساهمات فى صناديق المعاشات	21430201
29971	79755	116479	64000	 xمساعدات إجتماعية عينية	21430202
516267429	587366468	690786071	484055000	* نفقات خدمية لغير العاملين	21430300
7911293	19789840	33607496	28060000	  xنفقات علاج مواطنى جمهورية مصر العربية 	21430301
121924134	51095958	114979551	134736000	  xنفقات نشاط رياضى واجتماعى لغير العاملين 	21430302
19435768	58556427	60496344	22141000	  xنفقات خدمات صحية لغير العاملين 	21430303
324531595	416454113	412667832	226215000	  xمكافأت لغير العاملين عن خدمات مؤداة	21430304
42464639	41470130	69034848	72903000	  xجوائز وأوسمة	21430305
69858200	86540293	91738398	66689000	* مزايا إجتماعية للعاملين	21430400
63133615	79713246	83783400	60435000	 xنفقات دفن	21430401
31905	16072	79005	103000	 xنفقات محو الأمية	21430402
128611	189970	242771	233000	  xمزايا إجتماعية للعاملين عينية	21430403
6564069	6621005	7633222	5918000	 xأخرى	21430404
558141671	500592551	906422921	2930083000	   = الدعم والمنح الاجمالية والاحتياطيات العامة	21440000
558141671	500592551	608238526	430083000	* الدعم والمنح الاجمالية	21440100
229953033	233633605	238613623	256820000	 xالدعم والمنح الاجماليــة المدرجة بموازنات الجهات	21440101
328188638	266958946	369624903	173263000	 xاعتمادات الدعم والمنح للحسابات والصناديق الخاصة  	21440102
0	0	298184395	2500000000	* المتطلبات الاضافية للدعم والمنح	21440200
0	0	200468452	2500000000	 xاحتياطيات عامة للدعم والمنح	21440201
0	0	97715943	0	 xمتطلبات إضافية أخرى للدعم والمنح	21440202
0	0	0	0	   = الدعم والمنح والمزايا الاجتماعية المستبعده	21450000
0	0	0	0	* الدعم والمنح المستبعدة بالتحصيل من شراء الأصول غير المالية 	21450100
0	0	0	0	  xالدعم والمنح  المستبعدة من مصادر أخرى 	21450101

